Algorithm, Search strategy, Query, Modelname, #Results),
czero, BestFS, CTLCardinality, Angiogenesis-PT-01,13,
czero, BestFS, CTLCardinality, Angiogenesis-PT-05,3,
czero, BestFS, CTLCardinality, CircadianClock-PT-000001,15,
czero, BestFS, CTLCardinality, CircadianClock-PT-000010, ,
czero, BestFS, CTLCardinality, CircularTrains-PT-012,14,
czero, BestFS, CTLCardinality, CSRepetitions-PT-02,15,
czero, BestFS, CTLCardinality, DatabaseWithMutex-PT-02,15,
czero, BestFS, CTLCardinality, Dekker-PT-010,1,
czero, BestFS, CTLCardinality, DrinkVendingMachine-PT-02,13,
czero, BestFS, CTLCardinality, ERK-PT-000001,11,
czero, BestFS, CTLCardinality, ERK-PT-000010,7,
czero, BestFS, CTLCardinality, HouseConstruction-PT-002,13,
czero, BestFS, CTLCardinality, HouseConstruction-PT-005,9,
czero, BestFS, CTLCardinality, Kanban-PT-0005,1,
czero, BestFS, CTLCardinality, LamportFastMutEx-PT-2,15,
czero, BestFS, CTLCardinality, PhilosophersDyn-PT-03,15,
czero, BestFS, CTLCardinality, Railroad-PT-005,13,
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0010,15,
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0020,11,
czero, BestFS, CTLCardinality, SharedMemory-PT-000005,16,
czero, BestFS, CTLCardinality, SimpleLoadBal-PT-02,12,
czero, BestFS, CTLCardinality, TokenRing-PT-005,14,241
global, BestFS, CTLCardinality, Angiogenesis-PT-01,14,
global, BestFS, CTLCardinality, Angiogenesis-PT-05,2,
global, BestFS, CTLCardinality, CircadianClock-PT-000001,12,
global, BestFS, CTLCardinality, CircadianClock-PT-000010, ,
global, BestFS, CTLCardinality, CircularTrains-PT-012,14,
global, BestFS, CTLCardinality, CSRepetitions-PT-02,2,
global, BestFS, CTLCardinality, DatabaseWithMutex-PT-02,12,
global, BestFS, CTLCardinality, Dekker-PT-010,2,
global, BestFS, CTLCardinality, DrinkVendingMachine-PT-02,14,
global, BestFS, CTLCardinality, ERK-PT-000001,15,
global, BestFS, CTLCardinality, ERK-PT-000010,5,
global, BestFS, CTLCardinality, HouseConstruction-PT-002,11,
global, BestFS, CTLCardinality, HouseConstruction-PT-005, ,
global, BestFS, CTLCardinality, Kanban-PT-0005,1,
global, BestFS, CTLCardinality, LamportFastMutEx-PT-2,13,
global, BestFS, CTLCardinality, PhilosophersDyn-PT-03,15,
global, BestFS, CTLCardinality, Railroad-PT-005,11,
global, BestFS, CTLCardinality, RwMutex-PT-r0010w0010,8,
global, BestFS, CTLCardinality, RwMutex-PT-r0010w0020,11,
global, BestFS, CTLCardinality, SharedMemory-PT-000005,6,
global, BestFS, CTLCardinality, SimpleLoadBal-PT-02,8,
global, BestFS, CTLCardinality, TokenRing-PT-005,12,188
local, BestFS, CTLCardinality, Angiogenesis-PT-01,12,
local, BestFS, CTLCardinality, Angiogenesis-PT-05,3,
local, BestFS, CTLCardinality, CircadianClock-PT-000001,15,
local, BestFS, CTLCardinality, CircadianClock-PT-000010, ,
local, BestFS, CTLCardinality, CircularTrains-PT-012,11,
local, BestFS, CTLCardinality, CSRepetitions-PT-02,14,
local, BestFS, CTLCardinality, DatabaseWithMutex-PT-02,10,
local, BestFS, CTLCardinality, Dekker-PT-010,2,
local, BestFS, CTLCardinality, DrinkVendingMachine-PT-02,15,
local, BestFS, CTLCardinality, ERK-PT-000001,12,
local, BestFS, CTLCardinality, ERK-PT-000010,8,
local, BestFS, CTLCardinality, HouseConstruction-PT-002,15,
local, BestFS, CTLCardinality, HouseConstruction-PT-005,6,
local, BestFS, CTLCardinality, Kanban-PT-0005,1,
local, BestFS, CTLCardinality, LamportFastMutEx-PT-2,16,
local, BestFS, CTLCardinality, PhilosophersDyn-PT-03,16,
local, BestFS, CTLCardinality, Railroad-PT-005,14,
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0010,16,
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0020,8,
local, BestFS, CTLCardinality, SharedMemory-PT-000005,15,
local, BestFS, CTLCardinality, SimpleLoadBal-PT-02,9,
local, BestFS, CTLCardinality, TokenRing-PT-005,10,228
